dataset,seed,b,contraction,num_sets,universe,elements,baseline_bits,ceb_bits,baseline_bpe,ceb_bpe,H_bpe,L_bpe,saving_pct,baseline_total_bpe,ceb_total_bpe,total_saving_pct,ceb_build_ms,base_build_ms,max_depth,mean_depth,ceb_retrieve_us,ceb_rank_us,base_retrieve_us,base_rank_us,all_ok,num_ret,num_rank
nested,90210,16,0,64,480,9605,26468,6519,2.7556,0.6787,2.0857,0.2564,75.3703,13.7276,10.2822,25.0982,5.0100,0.9970,63,31.5000,9.3115,14.0470,0.7530,0.9875,1,2000,2000
nested,90210,16,1,64,480,9605,26468,13972,2.7556,1.4547,2.0857,1.0654,47.2117,13.7276,11.6906,14.8391,5.2230,0.9720,5,2.7344,0.7965,2.0000,0.7585,0.9350,1,2000,2000
nested,90210,32,0,64,480,9605,24099,6257,2.5090,0.6514,2.0857,0.2564,74.0363,12.9979,10.4198,19.8350,4.1730,1.0310,63,31.5000,9.6190,16.0505,0.7750,1.4590,1,2000,2000
nested,90210,32,1,64,480,9605,24099,13095,2.5090,1.3634,2.0857,1.0654,45.6616,12.9979,11.4817,11.6649,4.4420,1.0590,5,2.7344,0.8595,2.0490,0.7440,1.8110,1,2000,2000
nested,90210,64,0,64,480,9605,23429,7277,2.4393,0.7576,2.0857,0.2564,68.9402,12.6860,10.9517,13.6710,4.4890,1.1840,63,31.5000,9.3100,23.9605,0.7240,1.5600,1,2000,2000
nested,90210,64,1,64,480,9605,23429,13751,2.4393,1.4317,2.0857,1.0654,41.3078,12.6860,11.6597,8.0903,5.3690,1.1600,5,2.7344,0.8270,3.0395,0.7690,1.5565,1,2000,2000
nested,555,4,0,64,480,9462,32387,9670,3.4228,1.0220,2.0421,0.2598,70.1423,15.7520,10.9167,30.6961,5.2870,0.8740,63,31.5000,9.2360,11.1485,0.7730,1.1870,1,2000,2000
nested,555,4,1,64,480,9462,32387,16029,3.4228,1.6940,2.0421,1.0576,50.5079,15.7520,12.1780,22.6891,4.1710,0.8780,6,2.8125,0.8310,1.1845,0.7440,0.8920,1,2000,2000
nested,555,8,0,64,480,9462,28332,7628,2.9943,0.8062,2.0421,0.2598,73.0764,13.7080,10.3402,24.5681,4.9060,0.8820,63,31.5000,9.8590,12.2800,0.9690,1.1290,1,2000,2000
nested,555,8,1,64,480,9462,28332,14571,2.9943,1.5399,2.0421,1.0576,48.5705,13.7080,11.5896,15.4535,4.2860,0.8730,6,2.8125,0.8810,1.3260,0.7460,1.1025,1,2000,2000
nested,555,16,0,64,480,9462,26062,6471,2.7544,0.6839,2.0421,0.2598,75.1707,13.7368,10.3044,24.9873,4.1040,0.9620,63,31.5000,9.3470,13.0475,0.8380,0.9400,1,2000,2000
nested,555,16,1,64,480,9462,26062,13619,2.7544,1.4393,2.0421,1.0576,47.7438,13.7368,11.7067,14.7787,4.2180,0.9700,6,2.8125,0.8000,1.5540,0.9535,0.9815,1,2000,2000
nested,555,32,0,64,480,9462,23426,6233,2.4758,0.6587,2.0421,0.2598,73.3928,12.9704,10.4721,19.2616,4.0320,1.0100,63,31.5000,8.3870,15.2580,0.6895,1.1100,1,2000,2000
nested,555,32,1,64,480,9462,23426,12997,2.4758,1.3736,2.0421,1.0576,44.5189,12.9704,11.5230,11.1590,4.3310,0.9850,6,2.8125,0.8525,1.9855,0.6745,1.0830,1,2000,2000
